strength,category,text,description
創造性,知恵,わたしは、新しい見方や考え方を思いつき、独自の方法で解決につなげます,物事を行うのに目新しく、生産性の高いやり方を考える力。芸術的な成果を含むがそれに限定されない。
好奇心,知恵,わたしは、新しいものが好きで、新しい人と出会ったり、新しい経験をしたいと思っています,今起きているあらゆる経験それ自体に興味を持ち、主題やテーマに対して興味深いと感じる。探求心を発揮して新しいことを発見することを好む。
知的柔軟性,知恵,わたしは、ものごとをいろいろな側面から検討し、よく吟味した根拠をもって結論を下します,あらゆる角度から物事を考え抜いて検討する。決して安易に結論に飛びつかない。証拠に照らして判断を変えることができる。あらゆる証拠に対して等しく重きを置く。
向学心,知恵,わたしは、自分の知識や経験を深めたいと考えて、新しいことを学ぼうと熱心に努力します,新しいスキルや知識体系を身につけることは、独学でも正式な教育による場合でも明らかに好奇心の強みに関係しているが、好奇心の枠に留まらず、既知の知識についても体系的に理解を深める傾向がある。
大局観,知恵,わたしは、ものごとのの流れや大筋をよくとらえていて、他の人から相談されることも多いです,人に対して賢明な助言ができる。自分にとっても、また他の人にとっても納得できるような、全体を俯瞰する視点を持っている。
勇敢さ,勇気,わたしは、さまざまな困難を真正面からとらえ、怖がったりしりごみしないで挑戦します,脅威や、試練や、困難や、苦痛などに決してひるまない。反対にあっても正しいことをきちんと言う。支持が得られなくても信念に基づいて行動する。身体を張るような勇敢さを含むがそれに限らない。
忍耐力,勇気,わたしは、障害があったとしても、やり始めたことを完成するまでやり続けることができます,始めたことを最後までやり遂げる。困難にあっても粘り強く前進し続ける。必ず課題を終わらせる。課題をやり遂げることに喜びを見出す。
誠実さ,勇気,わたしは、まじめで信頼されており、どんなときにも嘘をつくことはありません,真実を語る。自分を誠実に語る。偽りなく存在する。自分の気持ちと行動に対して責任を持つ。
熱意,勇気,わたしは、人生と日常生活に熱心で、いつも全力でエネルギッシュに活動します,感動と情熱をもって生きる。物事を中途半端にしたり、いい加減にすることはない。人生を冒険のように生きる。いきいきしており、活動的。
愛情,人間力,わたしは、温かくて他の人に寄り添うことができ、他の人からも好かれています,人との親密性、特に互いに共感し合ったり、思いやったりする関係に重きを置く。人と親しむ。
親切心,人間力,わたしは、他の人の面倒をみてあげて、何かしてあげたいという気持ちに満ち溢れています,人に親切にし、人のためによいことをする。他人を助け、面倒をみてあげる。
社会的知性,人間力,わたしは、その場の流れや人の気持ちによく気がつき、先回りして行動することができます,他者および自分自身の動機や感情を意識している。異なる状況においても、そこでの適切な振る舞い方を知っている。他者を動かすにはどうすればよいかを知っている。
チームワーク,正義,わたしは、グループのメンバーと協力して、チームのために働き、積極的に責任を果たします,グループやチームの一員としてうまく立ち振る舞う。グループに忠実で、その中で自分のやるべきことを行う。
公平性,正義,わたしは、平等に機会があることが大切だと思い、みんなに同じように接します,公平や正義という概念に従ってあらゆる人々を同様に扱う。自身の個人的な感情が他者への評価をゆがめることを許さない。皆に公平にチャンスを与える。
リーダーシップ,正義,わたしは、誰かに従うより、自分がリ－ダーとしてみんなのために働くのが得意です,自分が属するグループが物事を達成できるように力づけると同時に、グループ内で良い人間関係が保たれるように尽力する。グループのメンバーが活動しやすいように支援し、実現できるように動く。
寛容さ,節制力,わたしは、理不尽な扱いを受け流すことができ、他人の失敗を許すことができます,過ちを犯した人をゆるす。人にやり直すチャンスを与える。決して復讐心を持たない。
慎み深さ,節制力,わたしは、自分の足りないところを認め、自分よりも他の人の成功を喜ぶほうです,自分の業績を自慢せず、自ずから明らかになるのに任せる。自分自身が脚光を浴びることを求めない。ありのままの自分以上に自分のことを特別だとは考えない。
思慮深さ,節制力,わたしは、あとで後悔しないように、慎重に計画し、十分に注意深く準備します,注意深く選択する。不必要なリスクは決してとらない。後悔するような言動はとらない。
自立心,節制力,わたしは、とても自制心があり、自分の感情や行動をコントロールして、平静で落ち着いています,自分の気持ちや振る舞いをコントロールする。規律正しい。自分の食欲や感情をコントロールする。
審美眼,超越性,わたしは、美しいものや素晴らしいものを見つけて、それに心打たれて感激することが多いです,人生のあらゆる領域、つまり自然から芸術、数学、科学、日常の経験に至るまで、そこに美や、卓越性、あるいは熟練の技を見出し、それらの真価を認める。
感謝,超越性,わたしは、人生の良い出来事を当たり前とは思わず、ありがたく感じその気持ちを伝えます,自分や周りに起こったよい出来事に目を向け、それに感謝する心を持つ。そして、感謝の気持ちを表す時間を持つ。
希望,超越性,わたしは、望みがかなうことを期待し、それを信じて楽しく励むことができます,素晴らしい未来を描いて、それが達成できるように努力する。良い未来がもたらされると信じる。
ユーモア,超越性,わたしは、人を笑わせるのが好きで、落ち込んだ雰囲気をなごませて楽しくすることができます,笑いやいたずらを好む。人に笑いをもたらす。明るい面を見る。ジョークを考える（必ずしも口にしなくてよい）。
スピリチュアリティ,超越性,わたしは、人生には大切な意味があると信じており、それに従って行動します,より高次の目的や、森羅万象の意味について、一貫した信念を持つ。より大きな枠組みの中で自分がどこに適するのかを理解している。有意義な人生について信念を持っており、信念に基づき行動し、やすらぎを感じる。
